MRPExceptionMessageID,Material,Plant,MRPElement,MRPElementItem,MRPExceptionNumber,MRPExceptionText,MRPElementDate,MRPReschedulingDate,CreationDateTime
0000000024,MAT-91027,1020,4500002023,10,15,Postpone process,{T0+10d},{T0+14d},{T0-6h}
0000000025,MAT-91030,1020,4500002024,10,15,Postpone process,{T0+21d},{T0+35d},{T0-6h}
0000000026,MAT-91025,1020,4500002025,10,10,Bring process forward,{T0+7d},{T0+6d},{T0-6h}
0000000027,MAT-91034,1020,4500002026,10,15,Postpone process,{T0+11d},{T0+26d},{T0-6h}
0000000028,MAT-91002,1020,4500002027,10,15,Postpone process,{T0+7d},{T0+16d},{T0-6h}
0000000029,MAT-91002,1010,4500002028,10,10,Bring process forward,{T0+12d},{T0+10d},{T0-6h}
0000000030,MAT-91019,1010,4500002029,10,10,Bring process forward,{T0+6d},{T0+5d},{T0-6h}
0000000031,MAT-91016,1010,4500002030,10,15,Postpone process,{T0+16d},{T0+31d},{T0-6h}
0000000032,MAT-91028,1020,4500002031,10,15,Postpone process,{T0+21d},{T0+24d},{T0-6h}
0000000033,MAT-91032,1010,4500002032,10,10,Bring process forward,{T0+12d},{T0+10d},{T0-6h}
0000000034,MAT-91038,1010,4500002033,10,10,Bring process forward,{T0+5d},{T0+3d},{T0-6h}
0000000035,MAT-91010,1010,4500002034,10,10,Bring process forward,{T0+19d},{T0+18d},{T0-6h}
0000000036,MAT-91023,1010,4500002035,10,10,Bring process forward,{T0+9d},{T0+8d},{T0-6h}
0000000037,MAT-91033,1020,4500002036,10,10,Bring process forward,{T0+19d},{T0+17d},{T0-6h}
0000000038,MAT-91036,1010,4500002037,10,15,Postpone process,{T0+17d},{T0+32d},{T0-6h}
0000000039,MAT-91015,1010,4500002038,10,10,Bring process forward,{T0+9d},{T0+7d},{T0-6h}
0000000040,MAT-91003,1010,4500002039,10,10,Bring process forward,{T0+5d},{T0+3d},{T0-6h}
0000000041,MAT-91036,1010,4500002040,10,10,Bring process forward,{T0+16d},{T0+15d},{T0-6h}
0000000042,MAT-91006,1010,4500002041,10,10,Bring process forward,{T0+2d},{T0},{T0-6h}
0000000043,MAT-91018,1010,4500002042,10,10,Bring process forward,{T0+5d},{T0+4d},{T0-6h}
0000000044,MAT-91036,1010,4500002043,10,15,Postpone process,{T0+4d},{T0+13d},{T0-6h}
0000000045,MAT-91033,1010,4500002044,10,10,Bring process forward,{T0+20d},{T0+18d},{T0-6h}
0000000046,MAT-91037,1010,4500002045,10,10,Bring process forward,{T0+5d},{T0+3d},{T0-6h}
0000000047,MAT-91035,1020,4500002046,10,15,Postpone process,{T0+3d},{T0+6d},{T0-6h}
0000000048,MAT-91033,1020,4500002047,10,10,Bring process forward,{T0+8d},{T0+7d},{T0-6h}
0000000049,MAT-91020,1010,4500002048,10,15,Postpone process,{T0+18d},{T0+20d},{T0-6h}
0000000050,MAT-91038,1020,4500002049,10,15,Postpone process,{T0+9d},{T0+16d},{T0-6h}
0000000051,MAT-91012,1010,4500002050,10,15,Postpone process,{T0+18d},{T0+28d},{T0-6h}
0000000052,MAT-91032,1010,4500002051,10,15,Postpone process,{T0+21d},{T0+25d},{T0-6h}
0000000053,MAT-91014,1020,4500002052,10,10,Bring process forward,{T0+9d},{T0+7d},{T0-6h}
0000000054,MAT-91003,1010,4500002053,10,15,Postpone process,{T0+8d},{T0+15d},{T0-6h}
0000000055,MAT-91037,1010,4500002054,10,10,Bring process forward,{T0+4d},{T0+3d},{T0-6h}
0000000056,MAT-91012,1010,4500002055,10,10,Bring process forward,{T0+2d},{T0+1d},{T0-6h}
0000000057,MAT-91008,1020,4500002056,10,10,Bring process forward,{T0+6d},{T0+4d},{T0-6h}
0000000058,MAT-91038,1010,4500002057,10,10,Bring process forward,{T0+15d},{T0+14d},{T0-6h}
0000000059,MAT-91031,1010,4500002058,10,15,Postpone process,{T0+20d},{T0+34d},{T0-6h}
0000000060,MAT-91012,1010,4500002059,10,10,Bring process forward,{T0+19d},{T0+18d},{T0-6h}
0000000061,MAT-91003,1020,4500002060,10,10,Bring process forward,{T0+21d},{T0+20d},{T0-6h}
0000000062,MAT-91031,1010,4500002061,10,10,Bring process forward,{T0+5d},{T0+3d},{T0-6h}
0000000063,MAT-91033,1010,4500002062,10,15,Postpone process,{T0+13d},{T0+22d},{T0-6h}
0000000064,MAT-91029,1010,4500002063,10,15,Postpone process,{T0+13d},{T0+20d},{T0-6h}
0000000065,MAT-91024,1020,4500002064,10,15,Postpone process,{T0+17d},{T0+32d},{T0-6h}
0000000066,MAT-91027,1020,4500002065,10,15,Postpone process,{T0+18d},{T0+33d},{T0-6h}
0000000067,MAT-91021,1010,4500002066,10,15,Postpone process,{T0+15d},{T0+20d},{T0-6h}
0000000068,MAT-91011,1020,4500002067,10,10,Bring process forward,{T0+15d},{T0+14d},{T0-6h}
0000000069,MAT-91009,1020,4500002068,10,15,Postpone process,{T0+3d},{T0+7d},{T0-6h}
0000000070,MAT-91033,1020,4500002069,10,10,Bring process forward,{T0+13d},{T0+11d},{T0-6h}
0000000071,MAT-91019,1010,4500002070,10,15,Postpone process,{T0+18d},{T0+33d},{T0-6h}
0000000072,MAT-91035,1010,4500002071,10,10,Bring process forward,{T0+12d},{T0+10d},{T0-6h}
0000000073,MAT-91026,1010,4500002072,10,10,Bring process forward,{T0+15d},{T0+14d},{T0-6h}
0000000074,MAT-91038,1010,4500002073,10,15,Postpone process,{T0+5d},{T0+18d},{T0-6h}
0000000075,MAT-91016,1020,4500002074,10,10,Bring process forward,{T0+21d},{T0+20d},{T0-6h}
0000000076,MAT-91036,1010,4500002075,10,10,Bring process forward,{T0+7d},{T0+5d},{T0-6h}
0000000077,MAT-91033,1010,4500002076,10,15,Postpone process,{T0+18d},{T0+22d},{T0-6h}
0000000078,MAT-91014,1020,4500002077,10,10,Bring process forward,{T0+13d},{T0+12d},{T0-6h}
0000000079,MAT-91010,1010,4500002078,10,10,Bring process forward,{T0+2d},{T0+1d},{T0-6h}
0000000080,MAT-91000,1010,4500002079,10,10,Bring process forward,{T0+3d},{T0+2d},{T0-6h}
0000000081,MAT-91008,1010,4500002080,10,10,Bring process forward,{T0+5d},{T0+4d},{T0-6h}
0000000082,MAT-91039,1020,4500002081,10,10,Bring process forward,{T0+21d},{T0+20d},{T0-6h}
0000000083,MAT-91016,1020,4500002082,10,10,Bring process forward,{T0+9d},{T0+7d},{T0-6h}
0000000084,MAT-91033,1010,4500002083,10,10,Bring process forward,{T0+5d},{T0+3d},{T0-6h}
0000000085,MAT-91038,1010,4500002084,10,10,Bring process forward,{T0+21d},{T0+19d},{T0-6h}
0000000086,MAT-91021,1020,4500002085,10,10,Bring process forward,{T0+13d},{T0+11d},{T0-6h}
0000000087,MAT-91014,1010,4500002086,10,10,Bring process forward,{T0+7d},{T0+6d},{T0-6h}
0000000088,MAT-91008,1010,4500002087,10,10,Bring process forward,{T0+19d},{T0+17d},{T0-6h}
0000000089,MAT-91023,1010,4500002088,10,10,Bring process forward,{T0+16d},{T0+15d},{T0-6h}
0000000090,MAT-91003,1020,4500002089,10,15,Postpone process,{T0+9d},{T0+11d},{T0-6h}
0000000091,MAT-91020,1020,4500002090,10,15,Postpone process,{T0+19d},{T0+33d},{T0-6h}
0000000092,MAT-91005,1010,4500002091,10,15,Postpone process,{T0+3d},{T0+13d},{T0-6h}
0000000093,MAT-91017,1020,4500002092,10,10,Bring process forward,{T0+4d},{T0+2d},{T0-6h}
0000000094,MAT-91022,1010,4500002093,10,10,Bring process forward,{T0+10d},{T0+8d},{T0-6h}
0000000095,MAT-91004,1010,4500002094,10,10,Bring process forward,{T0+17d},{T0+16d},{T0-6h}
0000000096,MAT-91003,1010,4500002095,10,10,Bring process forward,{T0+7d},{T0+6d},{T0-6h}
0000000097,MAT-91006,1010,4500002096,10,10,Bring process forward,{T0+16d},{T0+14d},{T0-6h}
0000000098,MAT-91038,1010,4500002097,10,10,Bring process forward,{T0+19d},{T0+17d},{T0-6h}
0000000099,MAT-91001,1010,4500002098,10,10,Bring process forward,{T0+2d},{T0},{T0-6h}
0000000100,MAT-91016,1010,4500002099,10,10,Bring process forward,{T0+3d},{T0+2d},{T0-6h}
0000000101,MAT-91025,1010,4500002100,10,10,Bring process forward,{T0+4d},{T0+2d},{T0-6h}
0000000102,MAT-91005,1020,4500002101,10,10,Bring process forward,{T0+8d},{T0+7d},{T0-6h}
0000000103,MAT-91037,1010,4500002102,10,15,Postpone process,{T0+10d},{T0+25d},{T0-6h}
0000000104,MAT-91009,1010,4500002103,10,10,Bring process forward,{T0+17d},{T0+15d},{T0-6h}
0000000105,MAT-91034,1020,4500002104,10,15,Postpone process,{T0+19d},{T0+34d},{T0-6h}
0000000106,MAT-91002,1010,4500002105,10,10,Bring process forward,{T0+9d},{T0+8d},{T0-6h}
0000000107,MAT-91021,1010,4500002106,10,15,Postpone process,{T0+6d},{T0+13d},{T0-6h}
0000000108,MAT-91022,1020,4500002107,10,15,Postpone process,{T0+14d},{T0+15d},{T0-6h}
0000000109,MAT-91021,1010,4500002108,10,10,Bring process forward,{T0+13d},{T0+12d},{T0-6h}
0000000110,MAT-91003,1020,4500002109,10,10,Bring process forward,{T0+9d},{T0+8d},{T0-6h}
0000000111,MAT-91004,1020,4500002110,10,15,Postpone process,{T0+8d},{T0+14d},{T0-6h}
0000000112,MAT-91033,1010,4500002111,10,10,Bring process forward,{T0+9d},{T0+7d},{T0-6h}
0000000113,MAT-91012,1010,4500002112,10,15,Postpone process,{T0+11d},{T0+26d},{T0-6h}
0000000114,MAT-91021,1010,4500002113,10,10,Bring process forward,{T0+13d},{T0+12d},{T0-6h}
0000000115,MAT-91029,1010,4500002114,10,10,Bring process forward,{T0+19d},{T0+17d},{T0-6h}
0000000116,MAT-91018,1020,4500002115,10,15,Postpone process,{T0+16d},{T0+25d},{T0-6h}
0000000117,MAT-91001,1020,4500002116,10,10,Bring process forward,{T0+7d},{T0+5d},{T0-6h}
0000000118,MAT-91018,1020,4500002117,10,10,Bring process forward,{T0+7d},{T0+5d},{T0-6h}
0000000119,MAT-91025,1010,4500002118,10,10,Bring process forward,{T0+12d},{T0+10d},{T0-6h}
0000000120,MAT-91002,1010,4500002119,10,15,Postpone process,{T0+19d},{T0+24d},{T0-6h}
0000000121,MAT-91038,1020,4500002120,10,15,Postpone process,{T0+9d},{T0+19d},{T0-6h}
0000000122,MAT-91023,1020,4500002121,10,10,Bring process forward,{T0+4d},{T0+3d},{T0-6h}
0000000123,MAT-91029,1010,4500002122,10,10,Bring process forward,{T0+6d},{T0+4d},{T0-6h}
0000000124,MAT-91028,1010,4500002123,10,15,Postpone process,{T0+19d},{T0+32d},{T0-6h}
0000000125,MAT-91026,1010,4500002124,10,10,Bring process forward,{T0+16d},{T0+14d},{T0-6h}
0000000126,MAT-91029,1020,4500002125,10,10,Bring process forward,{T0+21d},{T0+19d},{T0-6h}
0000000127,MAT-91018,1010,4500002126,10,15,Postpone process,{T0+11d},{T0+16d},{T0-6h}
0000000128,MAT-91009,1010,4500002127,10,15,Postpone process,{T0+14d},{T0+21d},{T0-6h}
0000000129,MAT-91034,1010,4500002128,10,15,Postpone process,{T0+10d},{T0+15d},{T0-6h}
0000000130,MAT-91014,1010,4500002129,10,10,Bring process forward,{T0+7d},{T0+5d},{T0-6h}
0000000131,MAT-91032,1010,4500002130,10,15,Postpone process,{T0+18d},{T0+24d},{T0-6h}
0000000132,MAT-91013,1010,4500002131,10,10,Bring process forward,{T0+21d},{T0+20d},{T0-6h}
0000000133,MAT-91026,1010,4500002132,10,10,Bring process forward,{T0+19d},{T0+18d},{T0-6h}
0000000134,MAT-91031,1010,4500002133,10,10,Bring process forward,{T0+6d},{T0+5d},{T0-6h}
0000000135,MAT-91014,1010,4500002134,10,10,Bring process forward,{T0+21d},{T0+19d},{T0-6h}
0000000136,MAT-91035,1020,4500002135,10,15,Postpone process,{T0+19d},{T0+20d},{T0-6h}
0000000137,MAT-91033,1010,4500002136,10,15,Postpone process,{T0+5d},{T0+18d},{T0-6h}
0000000138,MAT-91021,1020,4500002137,10,10,Bring process forward,{T0+19d},{T0+17d},{T0-6h}
0000000139,MAT-91002,1020,4500002138,10,15,Postpone process,{T0+9d},{T0+23d},{T0-6h}
0000000140,MAT-91020,1010,4500002139,10,15,Postpone process,{T0+20d},{T0+31d},{T0-6h}
0000000141,MAT-91022,1010,4500002140,10,15,Postpone process,{T0+6d},{T0+11d},{T0-6h}
0000000142,MAT-91011,1010,4500002141,10,15,Postpone process,{T0+7d},{T0+16d},{T0-6h}
0000000143,MAT-91013,1010,4500002142,10,15,Postpone process,{T0+8d},{T0+22d},{T0-6h}
0000000144,MAT-91019,1010,4500002143,10,15,Postpone process,{T0+10d},{T0+25d},{T0-6h}
0000000145,MAT-91029,1010,4500002144,10,15,Postpone process,{T0+16d},{T0+25d},{T0-6h}
0000000146,MAT-91025,1010,4500002145,10,10,Bring process forward,{T0+3d},{T0+2d},{T0-6h}
0000000147,MAT-91013,1010,4500002146,10,10,Bring process forward,{T0+10d},{T0+9d},{T0-6h}
0000000148,MAT-91022,1010,4500002147,10,10,Bring process forward,{T0+9d},{T0+7d},{T0-6h}
0000000149,MAT-91025,1010,4500002148,10,15,Postpone process,{T0+19d},{T0+33d},{T0-6h}
0000000150,MAT-91036,1020,4500002149,10,10,Bring process forward,{T0+11d},{T0+9d},{T0-6h}
0000000151,MAT-91007,1020,4500002150,10,10,Bring process forward,{T0+2d},{T0},{T0-6h}
0000000152,MAT-91029,1010,4500002151,10,15,Postpone process,{T0+11d},{T0+13d},{T0-6h}
0000000153,MAT-91022,1010,4500002152,10,10,Bring process forward,{T0+17d},{T0+15d},{T0-6h}
0000000154,MAT-91031,1010,4500002153,10,15,Postpone process,{T0+11d},{T0+22d},{T0-6h}
0000000155,MAT-91005,1020,4500002154,10,15,Postpone process,{T0+13d},{T0+27d},{T0-6h}
0000000156,MAT-91008,1010,4500002155,10,10,Bring process forward,{T0+12d},{T0+11d},{T0-6h}
0000000157,MAT-91007,1010,4500002156,10,15,Postpone process,{T0+20d},{T0+32d},{T0-6h}
0000000158,MAT-91016,1020,4500002157,10,15,Postpone process,{T0+16d},{T0+29d},{T0-6h}
0000000159,MAT-91022,1010,4500002158,10,10,Bring process forward,{T0+6d},{T0+5d},{T0-6h}
0000000160,MAT-91011,1010,4500002159,10,15,Postpone process,{T0+7d},{T0+22d},{T0-6h}
0000000161,MAT-91008,1010,4500002160,10,10,Bring process forward,{T0+11d},{T0+10d},{T0-6h}
0000000162,MAT-91038,1010,4500002161,10,15,Postpone process,{T0+15d},{T0+23d},{T0-6h}
0000000163,MAT-91023,1010,4500002162,10,10,Bring process forward,{T0+11d},{T0+10d},{T0-6h}
0000000164,MAT-91033,1020,4500002163,10,15,Postpone process,{T0+10d},{T0+20d},{T0-6h}
0000000165,MAT-91015,1010,4500002164,10,10,Bring process forward,{T0+13d},{T0+12d},{T0-6h}
0000000166,MAT-91031,1010,4500002165,10,10,Bring process forward,{T0+5d},{T0+4d},{T0-6h}
0000000167,MAT-91023,1010,4500002166,10,10,Bring process forward,{T0+15d},{T0+13d},{T0-6h}
0000000168,MAT-91012,1010,4500002167,10,10,Bring process forward,{T0+7d},{T0+5d},{T0-6h}
0000000169,MAT-91035,1010,4500002168,10,10,Bring process forward,{T0+3d},{T0+1d},{T0-6h}
0000000170,MAT-91009,1010,4500002169,10,15,Postpone process,{T0+2d},{T0+5d},{T0-6h}
0000000171,MAT-91015,1010,4500002170,10,15,Postpone process,{T0+4d},{T0+17d},{T0-6h}
0000000172,MAT-91037,1010,4500002171,10,15,Postpone process,{T0+8d},{T0+16d},{T0-6h}
0000000173,MAT-91001,1020,4500002172,10,10,Bring process forward,{T0+15d},{T0+14d},{T0-6h}
0000000174,MAT-91012,1020,4500002173,10,10,Bring process forward,{T0+6d},{T0+4d},{T0-6h}
0000000175,MAT-91018,1020,4500002174,10,15,Postpone process,{T0+13d},{T0+17d},{T0-6h}
0000000176,MAT-91020,1010,4500002175,10,10,Bring process forward,{T0+6d},{T0+5d},{T0-6h}
0000000177,MAT-91003,1010,4500002176,10,10,Bring process forward,{T0+12d},{T0+11d},{T0-6h}
0000000178,MAT-91033,1010,4500002177,10,15,Postpone process,{T0+13d},{T0+14d},{T0-6h}
0000000179,MAT-91034,1010,4500002178,10,15,Postpone process,{T0+2d},{T0+6d},{T0-6h}
0000000180,MAT-91004,1010,4500002179,10,10,Bring process forward,{T0+20d},{T0+18d},{T0-6h}
0000000181,MAT-91001,1010,4500002180,10,10,Bring process forward,{T0+5d},{T0+3d},{T0-6h}
0000000182,MAT-91003,1010,4500002181,10,15,Postpone process,{T0+7d},{T0+11d},{T0-6h}
0000000183,MAT-91022,1010,4500002182,10,10,Bring process forward,{T0+10d},{T0+9d},{T0-6h}
0000000184,MAT-91017,1010,4500002183,10,15,Postpone process,{T0+18d},{T0+20d},{T0-6h}
0000000185,MAT-91015,1010,4500002184,10,10,Bring process forward,{T0+21d},{T0+19d},{T0-6h}
0000000186,MAT-91008,1010,4500002185,10,15,Postpone process,{T0+10d},{T0+23d},{T0-6h}
0000000187,MAT-91018,1010,4500002186,10,15,Postpone process,{T0+10d},{T0+22d},{T0-6h}
0000000188,MAT-91018,1010,4500002187,10,15,Postpone process,{T0+11d},{T0+13d},{T0-6h}
0000000189,MAT-91013,1020,4500002188,10,10,Bring process forward,{T0+11d},{T0+9d},{T0-6h}
0000000190,MAT-91031,1010,4500002189,10,15,Postpone process,{T0+20d},{T0+34d},{T0-6h}
0000000191,MAT-91013,1010,4500002190,10,10,Bring process forward,{T0+13d},{T0+12d},{T0-6h}
0000000192,MAT-91029,1010,4500002191,10,10,Bring process forward,{T0+21d},{T0+19d},{T0-6h}
0000000193,MAT-91030,1020,4500002192,10,10,Bring process forward,{T0+14d},{T0+13d},{T0-6h}
0000000194,MAT-91006,1010,4500002193,10,10,Bring process forward,{T0+13d},{T0+12d},{T0-6h}
0000000195,MAT-91012,1010,4500002194,10,10,Bring process forward,{T0+10d},{T0+8d},{T0-6h}
0000000196,MAT-91015,1020,4500002195,10,10,Bring process forward,{T0+14d},{T0+12d},{T0-6h}
0000000197,MAT-91009,1020,4500002196,10,10,Bring process forward,{T0+9d},{T0+8d},{T0-6h}
0000000198,MAT-91031,1020,4500002197,10,15,Postpone process,{T0+21d},{T0+22d},{T0-6h}
0000000199,MAT-91006,1010,4500002198,10,10,Bring process forward,{T0+11d},{T0+9d},{T0-6h}
0000000200,MAT-91014,1010,4500002199,10,15,Postpone process,{T0+16d},{T0+26d},{T0-6h}
0000000201,MAT-91036,1010,4500002200,10,10,Bring process forward,{T0+10d},{T0+8d},{T0-6h}
0000000202,MAT-91000,1020,4500002201,10,10,Bring process forward,{T0+6d},{T0+5d},{T0-6h}
0000000203,MAT-91038,1010,4500002202,10,10,Bring process forward,{T0+18d},{T0+17d},{T0-6h}
0000000204,MAT-91026,1010,4500002203,10,10,Bring process forward,{T0+2d},{T0+1d},{T0-6h}
0000000205,MAT-91035,1020,4500002204,10,15,Postpone process,{T0+12d},{T0+13d},{T0-6h}
0000000206,MAT-91035,1010,4500002205,10,10,Bring process forward,{T0+12d},{T0+10d},{T0-6h}
0000000207,MAT-91025,1010,4500002206,10,15,Postpone process,{T0+13d},{T0+22d},{T0-6h}
0000000208,MAT-91010,1010,4500002207,10,15,Postpone process,{T0+15d},{T0+18d},{T0-6h}
0000000209,MAT-91024,1010,4500002208,10,10,Bring process forward,{T0+17d},{T0+16d},{T0-6h}
0000000210,MAT-91003,1010,4500002209,10,10,Bring process forward,{T0+16d},{T0+14d},{T0-6h}
0000000211,MAT-91004,1010,4500002210,10,10,Bring process forward,{T0+10d},{T0+8d},{T0-6h}
0000000212,MAT-91038,1010,4500002211,10,10,Bring process forward,{T0+7d},{T0+5d},{T0-6h}
0000000213,MAT-91027,1010,4500002212,10,10,Bring process forward,{T0+7d},{T0+6d},{T0-6h}
0000000214,MAT-91035,1020,4500002213,10,15,Postpone process,{T0+7d},{T0+16d},{T0-6h}
